step,sim_time_s,wind_speed_mps,load_power_kw
0,0,0.00,45.00
1,1,0.04,45.17
2,2,0.08,45.33
3,3,0.13,45.50
4,4,0.17,45.67
5,5,0.21,45.83
6,6,0.25,46.00
7,7,0.29,46.17
8,8,0.33,46.33
9,9,0.38,46.50
10,10,0.42,46.67
11,11,0.46,46.83
12,12,0.50,47.00
13,13,0.54,47.17
14,14,0.58,47.33
15,15,0.63,47.50
16,16,0.67,47.67
17,17,0.71,47.83
18,18,0.75,48.00
19,19,0.79,48.17
20,20,0.83,48.33
21,21,0.88,48.50
22,22,0.92,48.67
23,23,0.96,48.83
24,24,1.00,49.00
25,25,1.04,49.17
26,26,1.08,49.33
27,27,1.13,49.50
28,28,1.17,49.67
29,29,1.21,49.83
30,30,1.25,50.00
31,31,1.29,50.17
32,32,1.33,50.33
33,33,1.38,50.50
34,34,1.42,50.67
35,35,1.46,50.83
36,36,1.50,51.00
37,37,1.54,51.17
38,38,1.58,51.33
39,39,1.63,51.50
40,40,1.67,51.67
41,41,1.71,51.83
42,42,1.75,52.00
43,43,1.79,52.17
44,44,1.83,52.33
45,45,1.88,52.50
46,46,1.92,52.67
47,47,1.96,52.83
48,48,2.00,53.00
49,49,2.04,53.17
50,50,2.08,53.33
51,51,2.13,53.50
52,52,2.17,53.67
53,53,2.21,53.83
54,54,2.25,54.00
55,55,2.29,54.17
56,56,2.33,54.33
57,57,2.38,54.50
58,58,2.42,54.67
59,59,2.46,54.83
60,60,2.50,55.00
61,61,2.56,55.17
62,62,2.62,55.33
63,63,2.67,55.50
64,64,2.73,55.67
65,65,2.79,55.83
66,66,2.85,56.00
67,67,2.91,56.17
68,68,2.97,56.33
69,69,3.02,56.50
70,70,3.08,56.67
71,71,3.14,56.83
72,72,3.20,57.00
73,73,3.26,57.17
74,74,3.32,57.33
75,75,3.38,57.50
76,76,3.43,57.67
77,77,3.49,57.83
78,78,3.55,58.00
79,79,3.61,58.17
80,80,3.67,58.33
81,81,3.72,58.50
82,82,3.78,58.67
83,83,3.84,58.83
84,84,3.90,59.00
85,85,3.96,59.17
86,86,4.02,59.33
87,87,4.08,59.50
88,88,4.13,59.67
89,89,4.19,59.83
90,90,4.25,60.00
91,91,4.31,60.17
92,92,4.37,60.33
93,93,4.43,60.50
94,94,4.48,60.67
95,95,4.54,60.83
96,96,4.60,61.00
97,97,4.66,61.17
98,98,4.72,61.33
99,99,4.78,61.50
100,100,4.83,61.67
101,101,4.89,61.83
102,102,4.95,62.00
103,103,5.01,62.17
104,104,5.07,62.33
105,105,5.13,62.50
106,106,5.18,62.67
107,107,5.24,62.83
108,108,5.30,63.00
109,109,5.36,63.17
110,110,5.42,63.33
111,111,5.47,63.50
112,112,5.53,63.67
113,113,5.59,63.83
114,114,5.65,64.00
115,115,5.71,64.17
116,116,5.77,64.33
117,117,5.82,64.50
118,118,5.88,64.67
119,119,5.94,64.83
120,120,6.00,65.00
121,121,6.07,65.17
122,122,6.13,65.33
123,123,6.20,65.50
124,124,6.27,65.67
125,125,6.33,65.83
126,126,6.40,66.00
127,127,6.47,66.17
128,128,6.53,66.33
129,129,6.60,66.50
130,130,6.67,66.67
131,131,6.73,66.83
132,132,6.80,67.00
133,133,6.87,67.17
134,134,6.93,67.33
135,135,7.00,67.50
136,136,7.07,67.67
137,137,7.13,67.83
138,138,7.20,68.00
139,139,7.27,68.17
